iter	Passed	Remaining
0	1	132
1	2	114
2	3	108
3	4	99
4	5	99
5	6	97
6	7	99
7	8	101
8	10	101
9	11	99
10	12	97
11	13	96
12	14	96
13	15	94
14	16	92
15	17	90
16	18	89
17	19	88
18	20	87
19	21	85
20	22	85
21	23	84
22	24	83
23	25	81
24	26	80
25	27	79
26	28	78
27	29	76
28	30	75
29	31	74
30	32	73
31	33	72
32	35	71
33	36	69
34	37	68
35	38	68
36	39	67
37	40	66
38	41	65
39	42	64
40	43	63
41	44	61
42	45	60
43	46	58
44	47	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	47
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	24
76	79	23
77	81	22
78	82	21
79	83	20
80	84	19
81	86	18
82	87	17
83	87	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
