iter	Passed	Remaining
0	158	158344
1	162	81299
2	164	54569
3	165	41185
4	166	33205
5	168	27858
6	170	24143
7	171	21312
8	177	19503
9	178	17687
10	180	16191
11	181	14931
12	182	13864
13	183	12951
14	185	12194
15	187	11531
16	189	10961
17	192	10496
18	194	10036
19	198	9737
20	200	9344
21	202	8983
22	203	8661
23	205	8358
24	208	8113
25	209	7860
26	212	7651
27	214	7437
28	215	7231
29	217	7043
30	219	6868
31	221	6704
32	224	6575
33	226	6430
34	227	6283
35	229	6146
36	231	6025
37	233	5914
38	235	5800
39	237	5689
40	238	5584
41	240	5485
42	242	5393
43	244	5308
44	248	5273
45	250	5188
46	251	5105
47	253	5025
48	255	4950
49	257	4883
50	258	4817
51	262	4794
52	287	5135
53	295	5184
54	300	5157
55	301	5087
56	303	5020
57	305	4956
58	307	4897
59	310	4870
60	312	4812
61	314	4756
62	316	4700
63	317	4647
64	319	4596
65	321	4548
66	325	4529
67	327	4486
68	342	4627
69	346	4599
70	348	4555
71	392	5057
72	394	5008
73	397	4974
74	399	4923
75	401	4876
76	402	4829
77	407	4815
78	409	4778
79	414	4764
80	416	4729
81	423	4737
82	424	4686
83	432	4714
84	435	4684
85	439	4668
86	441	4629
87	442	4590
88	445	4558
89	447	4523
90	449	4488
91	458	4527
92	461	4499
93	462	4462
94	464	4425
95	469	4422
96	471	4388
97	474	4368
98	476	4337
99	478	4303
100	481	4285
101	484	4266
102	486	4234
103	487	4202
104	489	4171
105	490	4140
106	492	4110
107	494	4081
108	499	4081
109	501	4057
110	503	4032
111	534	4238
112	536	4208
113	537	4178
114	539	4148
115	540	4119
116	541	4088
117	543	4061
118	548	4060
119	552	4048
120	556	4042
121	557	4013
122	559	3988
123	563	3978
124	565	3956
125	567	3933
126	568	3909
127	571	3891
128	573	3869
129	574	3846
130	576	3823
131	578	3801
132	585	3818
133	592	3829
134	596	3822
135	603	3831
136	605	3811
137	606	3789
138	608	3767
139	609	3745
140	611	3724
141	612	3701
142	614	3683
143	623	3706
144	625	3686
145	628	3678
146	630	3658
147	632	3638
148	633	3619
149	635	3601
150	637	3583
151	638	3564
152	640	3546
153	645	3547
154	647	3531
155	649	3514
156	651	3497
157	653	3482
158	655	3465
159	657	3451
160	667	3480
161	669	3464
162	671	3448
163	673	3431
164	676	3424
165	678	3409
166	680	3393
167	682	3377
168	683	3362
169	685	3347
170	700	3396
171	702	3382
172	704	3367
173	709	3366
174	711	3354
175	713	3340
176	716	3333
177	728	3362
178	732	3358
179	734	3344
180	739	3347
181	741	3332
182	743	3317
183	744	3302
184	746	3287
185	747	3272
186	771	3354
187	773	3340
188	777	3334
189	781	3331
190	804	3406
191	805	3391
192	807	3375
193	809	3362
194	810	3347
195	813	3335
196	814	3321
197	818	3315
198	820	3301
199	821	3286
200	823	3272
201	877	3467
202	882	3466
203	884	3451
204	887	3443
205	890	3432
206	894	3424
207	897	3418
208	899	3404
209	901	3392
210	903	3378
211	905	3363
212	907	3352
213	909	3338
214	913	3334
215	950	3450
216	952	3436
217	955	3427
218	957	3414
219	961	3408
220	963	3397
221	967	3389
222	970	3382
223	973	3372
224	979	3372
225	981	3361
226	984	3351
227	986	3339
228	991	3337
229	1028	3442
230	1032	3435
231	1035	3428
232	1040	3423
233	1042	3413
234	1044	3400
235	1046	3386
236	1048	3374
237	1053	3373
238	1055	3360
239	1057	3347
240	1058	3335
241	1061	3324
242	1065	3320
243	1079	3344
244	1081	3332
245	1083	3319
246	1084	3307
247	1088	3299
248	1092	3294
249	1100	3302
250	1104	3295
251	1108	3289
252	1112	3285
253	1114	3273
254	1116	3261
255	1120	3255
256	1122	3244
257	1128	3246
258	1131	3237
259	1173	3340
260	1178	3336
261	1182	3331
262	1185	3321
263	1194	3331
264	1204	3341
265	1210	3340
266	1214	3333
267	1216	3321
268	1219	3314
269	1221	3302
270	1226	3299
271	1228	3288
272	1230	3277
273	1232	3265
274	1273	3356
275	1275	3344
276	1278	3337
277	1280	3325
278	1282	3313
279	1284	3303
280	1289	3298
281	1290	3286
282	1292	3274
283	1294	3262
284	1295	3250
285	1310	3271
286	1312	3259
287	1315	3252
288	1321	3250
289	1349	3303
290	1353	3296
291	1355	3285
292	1358	3277
293	1360	3267
294	1362	3255
295	1365	3246
296	1372	3249
297	1374	3238
298	1376	3227
299	1379	3218
300	1381	3207
301	1390	3213
302	1392	3202
303	1402	3211
304	1422	3241
305	1424	3230
306	1425	3218
307	1427	3208
308	1430	3197
309	1433	3191
310	1435	3181
311	1439	3174
312	1442	3167
313	1444	3156
314	1447	3147
315	1450	3139
316	1456	3138
317	1458	3128
318	1460	3117
319	1464	3112
320	1466	3102
321	1468	3092
322	1488	3120
323	1494	3118
324	1497	3109
325	1499	3100
326	1502	3093
327	1504	3082
328	1509	3079
329	1512	3069
330	1513	3058
331	1515	3048
332	1517	3040
333	1519	3029
334	1521	3019
335	1523	3010
336	1525	3000
337	1526	2990
338	1549	3021
339	1558	3025
340	1561	3017
341	1562	3006
342	1564	2996
343	1566	2986
344	1574	2988
345	1575	2978
346	1577	2969
347	1579	2959
348	1581	2949
349	1586	2945
350	1587	2935
351	1590	2927
352	1592	2918
353	1594	2908
354	1595	2899
355	1626	2942
356	1628	2932
357	1629	2922
358	1636	2921
359	1638	2912
360	1640	2903
361	1641	2893
362	1643	2883
